price,nav-link,description,listing-location,bed,bath,carport,surface_area,building_area
2186,https://www.rumah123.com/properti/sleman/hos17150954/,Rumah Halaman Luas Timur Stadion Maguwo,"Purwomartani   , Sleman",3,2,,668,250
1158,https://www.rumah123.com/properti/sleman/hos17161328/,Rumah Modern Baru jalan Damai jakal km. 8,"Ngaglik, Sleman",4,4,2,154,230
575,https://www.rumah123.com/properti/sleman/hos14680993/,Rumah 1 Lantai Furnished Dekat Bandara Adisucipto Jl. Solo Km 10,"Kalasan, Sleman",2,1,1,120,90
1039,https://www.rumah123.com/properti/sleman/hos17150766/,Rumah 2 Lantai Dekat Universitas Islam Indonesia Jl. Kaliurang,"Ngaglik, Sleman",6,5,,162,170
2748,https://www.rumah123.com/properti/sleman/hos17150644/,Rumah 2 Lantai SHM View Sungai Dekat Kampus Stpn Jl. Godean Km 4,"Gamping, Sleman",6,6,1,688,384
1570,https://www.rumah123.com/properti/sleman/hos17161236/,Rumah Jogja Dijual Dekat Jogja City Mall,"Mlati, Sleman",7,4,2,225,300
693,https://www.rumah123.com/properti/sleman/hos17161211/,Jual Rumah Baru Jalan Kaliurang Dekat UGM,"Depok, Sleman",3,3,1,139,100
1918,https://www.rumah123.com/properti/sleman/hos17161120/,Rumah Minimalis Modern Murah Bonus Furnished Jogja Sleman,"Mlati, Sleman",4,4,8,564,190
648,https://www.rumah123.com/properti/sleman/hos17161109/,Rumah Baru dalam Cluster dekat Kampus UII,"Ngaglik, Sleman",3,3,2,134,85
277,https://www.rumah123.com/properti/sleman/hos17161065/,Rumah Baru Siap Huni Diutara Candi Prambanan,"Prambanan, Sleman",2,1,1,61,30
1570,https://www.rumah123.com/properti/sleman/hos17161045/,Rumah Cluster Minimalis Murah Jogja Sleman Dekat Jogja City Mall,"Mlati, Sleman",7,4,2,225,300
705,https://www.rumah123.com/properti/sleman/hos17161029/,Rumah Konsep Jepang Dalam Ringroad Jl Kabupaten,"Gamping, Sleman",3,3,2,119,114
365,https://www.rumah123.com/properti/sleman/hos17161007/,Dp Kecil Rumah Modern Di Berbah Dkat Blok O Janti Seturan SHM Kpr,"Berbah, Sleman",2,1,1,90,40
1918,https://www.rumah123.com/properti/sleman/hos17160950/,Dijual Rumah Mewah Jogja Dekat Kampus Ugm,"Mlati, Sleman",4,4,8,564,190
